Ledger,TDS Section,In Use,Ledger_norm
Miscellaneous Expenses,,Yes,miscellaneous expenses
Bank Charges- Loan,,Yes,bank charges loan
Repair & Maintenance (Machines),194C,Yes,repair maintenance machines
Water Charges,,Yes,water charges
Freight Inward,194C,Yes,freight inward
Interest on WC,194A,Yes,interest on wc
Petty Cash Exp,,Yes,petty cash exp
Membership Fees,,Yes,membership fees
Tour and Travelling Expenses,,Yes,tour and travelling expenses
Interest on TL,194A,Yes,interest on tl
staff welfare expenses,,Yes,staff welfare expenses
professional fees,194J,Yes,professional fees
mobile and internet charges,194C,Yes,mobile and internet charges
audit fees,194J,Yes,audit fees
Diwali Expenses,,Yes,diwali expenses
Rounding Off Expenses,,Yes,rounding off expenses
Discount Given,,Yes,discount given
freight charges,194C,Yes,freight charges
electricity expenses,,Yes,electricity expenses
Tea Expenses,,Yes,tea expenses
Commission Expenses,194H,Yes,commission expenses
Purchase Gst,,Yes,purchase gst
Overtime Charges,192,Yes,overtime charges
Production Incentive,,Yes,production incentive
Printing Charges,194C,Yes,printing charges
Crane Charges,194C,Yes,crane charges
Insurance Expenses,194D,Yes,insurance expenses
Job Work Charges,194C,Yes,job work charges
Diwali Bonus,,Yes,diwali bonus
Conveyance Expenses,,Yes,conveyance expenses
Interest Expense,194A,Yes,interest expense
Service Charges - RIICO,194J,Yes,service charges riico
Hotel Charges,194I,Yes,hotel charges
Factory Building,,Yes,factory building
Director Salary,192,Yes,director salary
Bank Charges - Canara,,Yes,bank charges canara
Compliance Expenses,,Yes,compliance expenses
Stationery Expenses,,Yes,stationery expenses
Corrugation Plant & Machinery,,Yes,corrugation plant machinery
Repair & Maintenance Expenses (Others),194C,Yes,repair maintenance expenses others
RO Water Charges,,Yes,ro water charges
Staff Salary A/c,192,Yes,staff salary ac
printing material,194Q,No,printing material
conveyance,194C,No,conveyance
penal charges,,No,penal charges
printing and stationery,194Q,No,printing and stationery
printed cloth purchase,194Q,No,printed cloth purchase
packing charges,194C,No,packing charges
md meeraj,192,No,md meeraj
pick and pack fee 2,194C,No,pick and pack fee 2
reimbursement of expenses,,No,reimbursement of expenses
logistics charges,194C,No,logistics charges
telephone and mobile expenses,194C,No,telephone and mobile expenses
steamer machine,194Q,No,steamer machine
interest on late payment of epf,,No,interest on late payment of epf
professional fees business development,194J,No,professional fees business development
payrollprocessingandconsultancy,194J,No,payrollprocessingandconsultancy
epf adm charges 050,,No,epf adm charges 050
repairs maintenance office,194C,No,repairs maintenance office
locker rent,194I,No,locker rent
collection fee 5,194H,No,collection fee 5
press packing charges non gst,194C,No,press packing charges non gst
stitching work,194C,No,stitching work
other purchase,194Q,No,other purchase
tour traveling expenses,,No,tour traveling expenses
ad services fee 2,194C,No,ad services fee 2
software installation charges,194J,No,software installation charges
elec expenses,,No,elec expenses
officeinaugrationexpense,,No,officeinaugrationexpense
vfh charges,194C,No,vfh charges
courier cargo charges,194C,No,courier cargo charges
shipping fee 2,194C,No,shipping fee 2
puran singh,192,No,puran singh
freight inward charges,194C,No,freight inward charges
sewing machine,194Q,No,sewing machine
professional fees bi analytics,194J,No,professional fees bi analytics
mobiles,194Q,No,mobiles
repairs maintenance computer software,194C,No,repairs maintenance computer software
professional fees accounting,194J,No,professional fees accounting
mobile samsung s23fe 8256 5g,194Q,No,mobile samsung s23fe 8256 5g
factory rent,194I,No,factory rent
parkingcharges,194C,No,parkingcharges
purchases gst28,194Q,No,purchases gst28
lodging boarding domestic,194C,No,lodging boarding domestic
office equipment,194Q,No,office equipment
gst recounsling exp,194J,No,gst recounsling exp
officefurniture,194Q,No,officefurniture
staff welfare,,No,staff welfare
interest on unsecured loan,194A,No,interest on unsecured loan
rent,194I,No,rent
intangible asset under development,,No,intangible asset under development
shipping charges,194C,No,shipping charges
office inaugration expense,,No,office inaugration expense
foreign exchange fluctuation,,No,foreign exchange fluctuation
sumer saini,192,No,sumer saini
